option_id,perf_g
1,0.180000
2,0.180000
3,0.180000
4,0.180000
5,0.180000
6,0.180000
7,0.180000
8,0.180000
9,0.180000
10,0.180000
11,0.180000
12,0.180000
13,0.180000
14,0.180000
15,0.180000
16,0.180000
17,0.180000
18,0.180000
19,0.180000
20,0.180000
21,0.180000
22,0.180000
23,0.180000
24,0.180000
25,0.180000
26,0.180000
27,0.180000
28,0.180000
29,0.180000
30,0.180000
31,0.180000
32,0.180000
33,0.180000
34,0.180000
35,0.180000
36,0.180000
37,0.180000
38,0.180000
39,0.180000
40,0.180000
41,0.180000
42,0.180000
43,0.180000
44,0.180000
45,0.180000
46,0.180000
47,0.180000
48,0.180000
49,0.180000
50,0.180000
51,0.180000
52,0.180000
53,0.180000
54,0.180000
55,0.180000
56,0.180000
57,0.180000
58,0.180000
59,0.180000
60,0.180000
61,0.180000
62,0.180000
63,0.180000
64,0.180000
65,0.180000
66,0.180000
67,0.180000
68,0.180000
69,0.180000
70,0.180000
71,0.180000
72,0.180000
73,0.180000
74,0.180000
75,0.180000
76,0.180000
77,0.180000
78,0.180000
79,0.180000
80,0.180000
81,0.180000
82,0.180000
83,0.180000
84,0.180000
85,0.180000
86,0.180000
87,0.180000
88,0.180000
89,0.180000
90,0.180000
91,0.180000
92,0.180000
93,0.180000
94,0.180000
95,0.180000
96,0.180000
97,0.180000
98,0.180000
99,0.180000
100,0.180000
101,0.180000
102,0.180000
103,0.180000
104,0.180000
105,0.180000
106,0.180000
107,0.180000
108,0.180000
109,0.180000
110,0.180000
111,0.180000
112,0.180000
113,0.180000
114,0.180000
115,0.180000
116,0.180000
117,0.180000
118,0.180000
119,0.180000
120,0.180000
121,0.180000
122,0.180000
123,0.180000
124,0.180000
125,0.180000
126,0.180000
127,0.180000
128,0.180000
129,0.180000
130,0.180000
131,0.180000
132,0.180000
133,0.180000
134,0.180000
135,0.180000
136,0.180000
137,0.180000
138,0.180000
139,0.180000
140,0.180000
141,0.180000
142,0.180000
143,0.180000
144,0.180000
145,0.180000
146,0.180000
147,0.180000
148,0.180000
149,0.180000
150,0.180000
151,0.180000
152,0.180000
153,0.180000
154,0.180000
155,0.180000
156,0.180000
157,0.180000
158,0.180000
159,0.180000
160,0.180000
161,0.180000
162,0.180000
163,0.180000
164,0.180000
165,0.180000
166,0.180000
167,0.180000
168,0.180000
169,0.180000
170,0.180000
171,0.180000
172,0.180000
173,0.180000
174,0.180000
175,0.180000
176,0.180000
177,0.180000
178,0.180000
179,0.180000
180,0.180000
181,0.310000
182,0.310000
183,0.310000
184,0.310000
185,0.310000
186,0.310000
187,0.310000
188,0.310000
189,0.310000
190,0.310000
191,0.310000
192,0.310000
193,0.310000
194,0.310000
195,0.310000
196,0.310000
197,0.310000
198,0.310000
199,0.310000
200,0.310000
201,0.310000
202,0.310000
203,0.310000
204,0.310000
205,0.310000
206,0.310000
207,0.310000
208,0.310000
209,0.310000
210,0.310000
211,0.310000
212,0.310000
213,0.310000
214,0.310000
215,0.310000
216,0.310000
217,0.310000
218,0.310000
219,0.310000
220,0.310000
221,0.310000
222,0.310000
223,0.310000
224,0.310000
225,0.310000
226,0.310000
227,0.310000
228,0.310000
229,0.310000
230,0.310000
231,0.310000
232,0.310000
233,0.310000
234,0.310000
235,0.310000
236,0.310000
237,0.310000
238,0.310000
239,0.310000
240,0.310000
241,0.310000
242,0.310000
243,0.310000
244,0.310000
245,0.310000
246,0.310000
247,0.310000
248,0.310000
249,0.310000
250,0.310000
251,0.310000
252,0.310000
253,0.310000
254,0.310000
255,0.310000
256,0.310000
257,0.310000
258,0.310000
259,0.310000
260,0.310000
261,0.310000
262,0.310000
263,0.310000
264,0.310000
265,0.310000
266,0.310000
267,0.310000
268,0.310000
269,0.310000
270,0.310000
271,0.310000
272,0.310000
273,0.310000
274,0.310000
275,0.310000
276,0.310000
277,0.310000
278,0.310000
279,0.310000
280,0.310000
281,0.310000
282,0.310000
283,0.310000
284,0.310000
285,0.310000
286,0.310000
287,0.310000
288,0.310000
289,0.310000
290,0.310000
291,0.310000
292,0.310000
293,0.310000
294,0.310000
295,0.310000
296,0.310000
297,0.310000
298,0.310000
299,0.310000
300,0.310000
301,0.310000
302,0.310000
303,0.310000
304,0.310000
305,0.310000
306,0.310000
307,0.310000
308,0.310000
309,0.310000
310,0.310000
311,0.310000
312,0.310000
313,0.310000
314,0.310000
315,0.310000
316,0.310000
317,0.310000
318,0.310000
319,0.310000
320,0.310000
321,0.310000
322,0.310000
323,0.310000
324,0.310000
325,0.310000
326,0.310000
327,0.310000
328,0.310000
329,0.310000
330,0.310000
331,0.310000
332,0.310000
333,0.310000
334,0.310000
335,0.310000
336,0.310000
337,0.310000
338,0.310000
339,0.310000
340,0.310000
341,0.310000
342,0.310000
343,0.310000
344,0.310000
345,0.310000
346,0.310000
347,0.310000
348,0.310000
349,0.310000
350,0.310000
351,0.310000
352,0.310000
353,0.310000
354,0.310000
355,0.310000
356,0.310000
357,0.310000
358,0.310000
359,0.310000
360,0.310000
361,0.310000
362,0.310000
363,0.310000
364,0.310000
365,0.310000
366,0.310000
367,0.310000
368,0.310000
369,0.310000
370,0.310000
371,0.310000
372,0.310000
373,0.310000
374,0.310000
375,0.310000
376,0.310000
377,0.310000
378,0.310000
379,0.310000
380,0.310000
381,0.310000
382,0.310000
383,0.310000
384,0.310000
385,0.310000
386,0.310000
387,0.310000
388,0.310000
389,0.310000
390,0.310000
391,0.310000
392,0.310000
393,0.310000
394,0.310000
395,0.310000
396,0.310000
397,0.310000
398,0.310000
399,0.310000
400,0.310000
401,0.310000
402,0.310000
403,0.310000
404,0.310000
405,0.310000
406,0.310000
407,0.310000
408,0.310000
409,0.310000
410,0.310000
411,0.310000
412,0.310000
413,0.310000
414,0.310000
415,0.310000
416,0.310000
417,0.310000
418,0.310000
419,0.310000
420,0.310000
421,0.310000
422,0.310000
423,0.310000
424,0.310000
425,0.310000
426,0.310000
427,0.310000
428,0.310000
429,0.310000
430,0.310000
431,0.310000
432,0.310000
433,0.310000
434,0.310000
435,0.310000
436,0.310000
437,0.310000
438,0.310000
439,0.310000
440,0.310000
441,0.310000
442,0.310000
443,0.310000
444,0.310000
445,0.310000
446,0.310000
447,0.310000
448,0.310000
449,0.310000
450,0.310000
451,0.460000
452,0.460000
453,0.460000
454,0.460000
455,0.460000
456,0.460000
457,0.460000
458,0.460000
459,0.460000
460,0.460000
461,0.460000
462,0.460000
463,0.460000
464,0.460000
465,0.460000
466,0.460000
467,0.460000
468,0.460000
469,0.460000
470,0.460000
471,0.460000
472,0.460000
473,0.460000
474,0.460000
475,0.460000
476,0.460000
477,0.460000
478,0.460000
479,0.460000
480,0.460000
481,0.460000
482,0.460000
483,0.460000
484,0.460000
485,0.460000
486,0.460000
487,0.460000
